Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Non-Cash Items";"Change in Working Capital";"Change in Accounts Receivable";"Change in Inventories";"Change in Accounts Payable";"Change in Other";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Long Term Investment";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Net Change in Cash"
ACET;1154966;USD;2019;FY;2019-12-31;2020-03-12;2021-03-12;4902381;4902381;-28138000;1238000;-1323000;341000;;;;;-27882000;-952000;-46979000;;-47931000;;;76945000;76945000;1132000
ACET;1154966;USD;2020;FY;2020-12-31;2021-03-12;2022-03-15;7319977;7319977;-36678000;1226000;7424000;-13524000;;;;;-41552000;-990000;52093000;64114000;115217000;;;460000;303000;73968000
ACET_delis;191612;USD;2016;FY;2016-06-30;2016-08-26;2017-11-09;29110000;29581000;34766000;12698000;8452000;-24085000;-6149000;-2489000;-8937000;-6510000;31831000;-12377000;2483000;;-9894000;-7084000;36553000;729000;10855000;32808000
ACET_delis;191612;USD;2017;FY;2017-06-30;2017-11-09;2018-09-28;32283000;32632000;11376000;23754000;15935000;-6498000;-34198000;-2958000;-3097000;33755000;44567000;-5252000;-1126000;-270000000;-276378000;-7831000;232303000;551000;220162000;-11148000
ACET_delis;191612;USD;2018;FY;2018-06-30;2018-10-25;2018-10-25;35216000;35216000;-316121000;32812000;282648000;102467000;30182000;-22000;16729000;55578000;101806000;-7242000;-1039000;;-8281000;-6288000;-43181000;606000;-48863000;45194000
ACHC;445598;USD;2016;FY;2016-12-31;2017-02-24;2018-02-27;85701000;85972000;4176000;135103000;254570000;-22115000;;;;;361478000;-307472000;;-310189000;-660365000;;-276924000;685097000;358841000;45848000
ACHC;445598;USD;2017;FY;2017-12-31;2018-02-27;2019-03-01;86948000;87060000;199589000;143010000;76916000;-18245000;;;;;399577000;-274177000;;-18191000;-336526000;;-57305000;;-60074000;10227000
ACHC;445598;USD;2018;FY;2018-12-31;2019-03-01;2021-02-26;87288000;87288000;57488000;80342000;62116000;25995000;;;;;414080000;-253187000;;-18383000;-360964000;;-61658000;;-67330000;-37098000
ACHC;445598;USD;2019;FY;2019-12-31;2020-02-28;2022-03-01;87612000;87816000;53310000;87923000;61516000;-19320000;;;;;332904000;-220914000;;-44900000;-201141000;;-52984000;;-61627000;49025000
ACHC;445598;USD;2020;FY;2020-12-31;2021-02-26;2022-03-01;87875000;88595000;143191000;95256000;101273000;163124000;;;;;658807000;-224872000;;;-281839000;;-26076000;;-51499000;254505000
ACI;1077533;USD;2016;FY;2017-02-28;2017-05-11;2019-04-24;579500000;579500000;-373300000;1804800000;130100000;251900000;;;;;1813500000;-937900000;;-220600000;-1079600000;;97200000;;-97800000;636100000
ACI;1077533;USD;2017;FY;2018-02-28;2018-04-17;2018-05-11;579500000;579500000;46300000;1898100000;-703500000;-222100000;;;;;1018800000;-607800000;;195400000;-469600000;;-550200000;;-1098100000;-548900000
ACI;1077533;USD;2018;FY;2019-02-28;2019-04-24;2021-04-28;580500000;580700000;131100000;1738800000;-358200000;176200000;;;;;1687900000;-110600000;;;-119800000;;-1210000000;-25800000;-1281200000;286900000
ACI;1077533;USD;2019;FY;2020-02-29;2020-05-13;2022-04-26;579400000;580300000;466400000;1691300000;322099999;-575900000;;;;;1903899999;-378400000;;;-378500000;;-1911900000;;-2014200000;-488800001
ACI;1077533;USD;2020;FY;2021-02-28;2021-04-28;2022-04-26;500300000;578100000;850200000;1536900000;431800000;1083600000;;;;;3902500000;-1468600000;;-97900000;-1572000000;-159700000;-432600000;-1881200000;-1041800000;1288700000
ACIA;353923;USD;2016;FY;2016-12-31;2017-02-08;2019-02-21;25307000;29585000;131577000;9168000;11917000;-49818000;;;;;102844000;-17254000;-104151000;;-121491000;;214517000;2634000;199069000;180422000
ACIA;353923;USD;2017;FY;2017-12-31;2018-02-22;2019-02-21;38920000;41690000;38508000;12280000;5404000;5701000;;;;;61893000;-14112000;-193859000;;-207907000;;0;5678000;5477000;-140537000
ACIA;353923;USD;2018;FY;2018-12-31;2019-02-21;2021-03-01;40259000;41997000;4916000;13646000;31927000;32596000;;;;;83085000;-14660000;-41518000;;-56237000;;;5813000;-33899000;-7051000
ACIA;353923;USD;2019;FY;2019-12-31;2020-04-29;2021-03-01;40883000;42554000;32839000;12559000;24700000;2721000;;;;;72819000;-11837000;-91740000;;-103579000;;;6933000;6933000;-23827000
ACIA;353923;USD;2020;FY;2020-12-31;2021-03-01;2021-03-01;41938000;43233000;90391000;11070000;41737000;-12146000;;;;;131052000;-12879000;-35272000;;-48160000;;;2176000;2176000;85068000
ACIW;1057787;USD;2016;FY;2016-12-31;2017-03-01;2019-03-01;117533000;118847000;129535000;103454000;-83775000;-49384000;;;;;99830000;136401000;;232000;129633000;;-199669000;-47777000;-251076000;-26486000
ACIW;1057787;USD;2017;FY;2017-12-31;2018-02-27;2020-02-27;118059000;119444000;5135000;102224000;40064000;-1226000;;;;;146197000;-54414000;;;-54414000;;-66940000;-20557000;-98148000;-6043000
ACIW;1057787;USD;2018;FY;2018-12-31;2019-03-01;2021-02-25;116057000;117632000;68921000;97350000;21270000;-3609000;;;;;183932000;-43893000;;;-45360000;;-11289000;-31755000;-57704000;78792000
ACIW;1057787;USD;2019;FY;2019-12-31;2020-02-27;2022-02-24;116175000;118571000;67062000;122569000;39860000;-96886000;;;;;132605000;-48014000;;-757268000;-830481000;;703080000;-19041000;668350000;-31021000
ACIW;1057787;USD;2020;FY;2020-12-31;2021-02-25;2022-02-24;116397000;118079000;72660000;140316000;67218000;34701000;;;;;314895000;-46633000;;;-30699000;;-236804000;-13198000;-159889000;124250000
ACLS;670942;USD;2016;FY;2016-12-31;2017-03-14;2018-03-14;29195000;30947000;11001000;4258000;6607000;-30654000;;;;;-8788000;-2236000;;;-2236000;;;2504000;2347000;-8170000
ACLS;670942;USD;2017;FY;2017-12-31;2018-03-14;2019-03-11;30866000;33436000;126959000;5002000;-68278000;-7399000;;;;;56284000;-7285000;;;-7285000;;;16254000;15070000;63225000
ACLS;670942;USD;2018;FY;2018-12-31;2019-03-11;2021-02-26;32286000;34002000;45885000;5772000;21198000;-25890000;;;;;46965000;-4715000;;;-4715000;;;2605000;1186000;44022000
ACLS;670942;USD;2019;FY;2019-12-31;2020-03-02;2022-02-25;32559000;33828000;17034000;7880000;15089000;-53597000;;;;;-13594000;-11969000;;;-11969000;;;-11776000;-13408000;-38368000
ACLS;670942;USD;2020;FY;2020-12-31;2021-02-26;2022-02-25;33257000;34128000;49982000;9939000;18698000;-8916000;;;;;69703000;-7266000;;;-7266000;;-399000;1927000;-2387000;57698000
ACLX;1342109;USD;2020;FY;2020-12-31;2021-03-24;2022-03-24;33543534;33543534;-32095000;629000;1051000;1753000;;;;;-28662000;-888000;;;-888000;;;42841000;41656000;12106000
ACM;445606;USD;2016;FY;2016-09-30;2016-11-16;2018-11-13;154772000;156073000;163472000;398730000;-14666000;266619000;;;;;814155000;-136764000;11745000;34165000;-162615000;;-493736000;12246000;-637979000;8252000
ACM;445606;USD;2017;FY;2017-09-30;2017-11-14;2018-11-13;155728000;159135000;421476000;278631000;20312000;-23765000;;;;;696654000;-78459000;900000;-100875000;-202711000;;-297561000;9893000;-386490000;110217000
ACM;445606;USD;2018;FY;2018-09-30;2018-11-13;2020-11-19;159101000;162261000;197127000;267570000;308408000;1448000;;;;;774553000;-86878000;;19537000;-59087000;;-323429000;-141483000;-624868000;84371000
ACM;445606;USD;2019;FY;2019-09-30;2019-11-13;2021-11-17;157044000;157044000;-183990000;261185000;563342000;137079000;;;;;777616000;-83373000;12365000;-95279000;-146760000;;-283850000;-67760000;-433279000;193621000
ACM;445606;USD;2020;FY;2020-09-30;2020-11-19;2021-11-17;159005000;161292000;-153741000;237376000;323905000;-77918000;;;;;329622000;-110791000;12392000;2107789000;2037437000;;-1381750000;-160565000;-1627970000;737895000
ACN;61372;USD;2016;FY;2016-08-31;2016-10-28;2017-10-26;624797820;667770274;4349603000;729052000;-78413000;-332842000;-177156000;;72626000;-228312000;4667400000;-492346000;;-118004000;-610350000;-1438138000;-1059000;-2013632000;-3489218000;544843000
ACN;61372;USD;2017;FY;2017-08-31;2017-10-26;2017-10-26;620104250;660463227;3634932000;801789000;980385000;-444067000;-169714000;;173712000;-448065000;4973039000;-505656000;;-1728223000;-2233879000;-1567578000;-2120000;-1973006000;-3560235000;-778749000
ACN;61372;USD;2018;FY;2018-08-31;2018-10-24;2020-10-22;628451742;655296150;4214594000;926776000;1078517000;-193196000;-710804000;;-167971000;685579000;6026691000;-619187000;;-637349000;-1249604000;-1708724000;-4195000;-1885948000;-3709028000;934500000
ACN;61372;USD;2019;FY;2019-08-31;2019-10-29;2021-10-15;638098125;650204873;4846241000;892760000;909371000;-21419000;;;177186000;-198605000;6626953000;-599009000;;-1165120000;-1755576000;-1864353000;-4772000;-1842669000;-3767171000;1065493000
ACN;61372;USD;2020;FY;2020-08-31;2020-10-22;2021-10-15;636299913;647797003;5185313000;1773124000;1124890000;131825000;;;-359682000;491507000;8215152000;-599132000;;-1301206000;-1894519000;-2037733000;-6719000;-1960539000;-4049092000;2288477000
ACPW;95192;USD;2016;FY;2016-12-31;2017-03-14;2017-03-14;23211000;23211000;-1446000;1000;;-27000;;;;;-7169000;-3000;;;-3166000;;;;-33000;-10691000
ACRX;113247;USD;2016;FY;2016-12-31;2017-03-03;2018-03-09;45313118;45313118;-43157000;2052000;13981000;-2271000;;;;;-29395000;-3720000;5529000;;1809000;;-205000;179000;-26000;-27612000
ACRX;113247;USD;2017;FY;2017-12-31;2018-03-09;2019-03-07;46883535;46883535;-51508000;1744000;16300000;3699000;;;;;-29765000;-2405000;-7565000;;-9970000;;-3718000;16045000;12327000;-27408000
ACRX;113247;USD;2018;FY;2018-12-31;2019-04-30;2021-03-15;58408548;58408548;-47149000;575000;15632000;1867000;;;;;-29075000;-819000;-10058000;;-10877000;;-7718000;82743000;75025000;35073000
ACRX;113247;USD;2019;FY;2019-12-31;2020-04-17;2021-03-15;79184266;79184266;-53240000;1668000;4298000;-3906000;;;;;-51180000;-3470000;-33093000;;-36563000;;21530000;1976000;14452000;-73291000
ACRX;113247;USD;2020;FY;2020-12-31;2021-03-15;2022-03-10;85257008;85257008;-40379000;1853000;2309000;-2288000;;;;;-38505000;-1855000;35994000;;34139000;;-4667000;21709000;16956000;12590000
ACU;998436;USD;2016;FY;2016-12-31;2017-03-10;2017-03-10;3327867;3577823;5850998;2421746;541065;43404;;;;;8857213;-1839194;;-6970910;-8810104;-1332757;7023205;-512556;3470827;3484880
ACU;998436;USD;2017;FY;2017-12-31;2018-02-09;2019-03-15;3356383;3724603;4052479;2894860;1345054;-3481517;;;;;4810876;-7146194;;-7233114;-14379308;-1408428;14492195;649231;12909468;3427499
ACU;998436;USD;2018;FY;2018-12-31;2019-03-15;2020-03-13;3370744;3541910;4598350;3229200;1421288;-4773569;;;;;4475269;-3230914;;;-3230914;-1484829;-3433900;-365149;-6051953;-4929227
ACU;998436;USD;2019;FY;2019-12-31;2020-03-13;2021-03-31;3351731;3452623;5513608;3432722;1440454;4315447;;;;;14702231;-1680479;;;-1680479;-1608956;-7309375;;-10606113;2412840
ACU;998436;USD;2020;FY;2020-12-31;2021-03-31;2022-03-30;3342630;3509497;8098766;3751980;2711784;-8841494;;;;;5721036;-2569174;;-11382728;-13951902;-1604706;8768140;-228234;5291082;-2654507
ADBE;14099;USD;2016;FY;2016-11-30;2017-01-20;2018-01-22;498345000;504299000;1168782000;331535000;304196000;395215000;;;;;2199728000;-203805000;5777000;-48427000;-960033000;;-108000;-929303000;-1090706000;134755000
ADBE;14099;USD;2017;FY;2017-11-30;2018-01-22;2019-01-25;493632000;501123000;1693954000;325997000;505208000;387694000;;;;;2912853000;-175988000;;-459626000;-442877000;;-1960000;-941649000;-1183735000;1294757000
ADBE;14099;USD;2018;FY;2018-11-30;2019-01-25;2021-01-15;490564000;497843000;2591000000;346000000;149000000;943000000;;;;;4029000000;-267000000;;-6314000000;-4685000000;;2248000000;-1859000000;-5000000;-663000000
ADBE;14099;USD;2019;FY;2019-11-30;2020-01-21;2022-01-21;486291000;491572000;2951000000;757000000;757000000;-43000000;;;;;4422000000;-395000000;-49000000;-101000000;-456000000;;;-2517000000;-2946000000;1007000000
ADBE;14099;USD;2020;FY;2020-11-30;2021-01-15;2022-01-21;481000000;485000000;5260000000;757000000;-476000000;186000000;;;;;5727000000;-419000000;-15000000;;-414000000;;-6000000;-2780000000;-3488000000;1828000000
ADES;619745;USD;2016;FY;2016-12-31;2017-03-13;2018-03-12;21931000;22234000;97678000;979000;-96492000;-20422000;;;;;-18257000;-237000;;1550000;39899000;0;-14496000;0;-15671000;5971000
ADES;619745;USD;2017;FY;2017-12-31;2018-03-12;2019-03-18;21367000;21413000;27873000;789000;-23260000;-17150000;;;;;-11748000;-428000;;-61000;48386000;-15690000;0;-16397000;-32889000;3749000
ADES;619745;USD;2018;FY;2018-12-31;2019-03-18;2019-03-18;19901000;20033000;35454000;723000;-40602000;-5464000;;;;;-9889000;-467000;;-63251000;-16543000;-20165000;67900000;-25343000;19511000;-6921000
ADES;619745;USD;2019;FY;2019-12-31;2020-03-16;2021-03-10;18154000;18372000;35537000;7371000;20886000;-1532000;;;;;62262000;-7851000;;-661000;-13238000;-18274000;-30000000;-5793000;-55716000;-6692000
ADES;619745;USD;2020;FY;2020-12-31;2021-03-10;2022-03-08;18044000;18044000;-20302000;8537000;67593000;-1780000;;;;;54048000;-6685000;;;-7466000;-4979000;-25360000;-159000;-27730000;18852000
ADI;65917;USD;2016;FY;2016-10-31;2016-11-22;2018-11-27;308736000;312308000;861664000;209790000;99405000;120489000;;;;;1291348000;-127397000;;-83170000;-1218270000;-513180000;823745000;-308565000;-33370000;36779000
ADI;65917;USD;2017;FY;2017-10-31;2017-11-22;2018-11-27;346371000;350484000;727259000;584059000;-373828000;216875000;;;;;1154365000;-204098000;;-9632568000;-6618014000;-602119000;6110068000;86769000;5586805000;126706000
ADI;65917;USD;2018;FY;2018-10-31;2018-11-27;2020-11-24;370430000;374938000;1506980000;799063000;-542642000;678960000;;;;;2442361000;-254876000;;-52839000;-313998000;-703307000;-1531222000;-126950000;-2358042000;-231247000
ADI;65917;USD;2019;FY;2019-10-31;2019-11-26;2021-12-03;369133000;372871000;1363011000;811251000;114121000;-35283000;;;;;2253100000;-275372000;;-11170000;-293186000;-777481000;400000000;-496482000;-2126794000;-168269000
ADI;65917;USD;2020;FY;2020-10-31;2020-11-24;2021-12-03;368633000;371973000;1220761000;810923000;80988000;-104185000;;;;;2008487000;-165692000;;-14196000;-180523000;-886155000;-354354000;-176084000;-1420608000;407538000
ADIL;807531;USD;2017;FY;2017-12-31;2018-02-19;2019-02-19;3264385;174282;-1139456;565;307659;336370;;;;;-494862;35117;;;35117;;350000;40000;390000;-69745
ADIL;807531;USD;2018;FY;2018-12-31;2019-02-19;2019-02-19;4759363;243182;-11631378;563;9981743;-849315;;;;;-2498387;0;;;0;;181250;6267932;6349182;3850795
ADIL;807531;USD;2019;FY;2019-12-31;2020-03-20;2021-03-22;9852486;9852486;-8591429;565;2044081;208169;;;;;-6338614;;;;;;1050950;8195673;9246623;2908009
ADIL;807531;USD;2020;FY;2020-12-31;2021-03-22;2022-03-28;12463127;12463127;-10892990;564;2014246;1245019;;;;;-7633161;-350000;;;-350000;;450008;5157215;5607223;-2375938
ADM;66997;USD;2016;FY;2016-12-31;2016-12-31;2019-02-19;588000000;591000000;1288000000;900000000;214000000;-8910000000;-8223000000;-654000000;161000000;-194000000;-6508000000;-687000000;258000000;-792000000;6852000000;-701000000;1088000000;-1000000000;-579000000;-235000000
ADM;66997;USD;2017;FY;2017-12-31;2017-12-31;2019-02-19;569000000;572000000;1602000000;924000000;-371000000;-8121000000;-8104000000;-137000000;181000000;-61000000;-5966000000;-854000000;447000000;-467000000;7291000000;-730000000;382000000;-750000000;-1028000000;297000000
ADM;66997;USD;2018;FY;2018-12-31;2018-12-31;2021-02-18;564000000;567000000;1815000000;941000000;1092000000;-8632000000;-376000000;226000000;-300000000;-8182000000;-4784000000;-651000000;13000000;-621000000;6582000000;-758000000;989000000;-77000000;187000000;1985000000
ADM;66997;USD;2019;FY;2019-12-31;2019-12-31;2022-02-17;563000000;565000000;1379000000;993000000;192000000;-8016000000;287000000;-21000000;-64000000;-8218000000;-5452000000;-535000000;77000000;-1959000000;5259000000;-789000000;301000000;-150000000;-660000000;-853000000
ADM;66997;USD;2020;FY;2020-12-31;2021-02-18;2022-02-17;561000000;563000000;1782000000;976000000;779000000;-5923000000;-149000000;-2426000000;694000000;-4042000000;-2386000000;-95000000;4000000;-20000000;4465000000;-809000000;492000000;-133000000;-423000000;1656000000
